,town,year,tenant_rental_assistance,total_assisted_units
0,Andover,2016,0,40.0
1,Ansonia,2016,658,1118.0
2,Ashford,2016,2,67.0
3,Avon,2016,8,283.0
4,Barkhamsted,2016,7,20.0
5,Beacon Falls,2016,3,37.0
6,Berlin,2016,47,715.0
7,Bethany,2016,2,10.0
8,Bethel,2016,22,341.0
9,Bethlehem,2016,0,28.0
10,Bloomfield,2016,93,976.0
11,Bolton,2016,2,20.0
12,Bozrah,2016,3,33.0
13,Branford,2016,63,451.0
14,Bridgeport,2016,4102,11300.0
15,Bridgewater,2016,0,4.0
16,Bristol,2016,844,3691.0
17,Brookfield,2016,22,256.0
18,Brooklyn,2016,12,346.0
19,Burlington,2016,0,72.0
20,Canaan,2016,5,56.0
21,Canterbury,2016,1,139.0
22,Canton,2016,15,304.0
23,Chaplin,2016,0,33.0
24,Cheshire,2016,20,365.0
25,Chester,2016,3,40.0
26,Clinton,2016,16,134.0
27,Colchester,2016,40,524.0
28,Colebrook,2016,0,8.0
29,Columbia,2016,2,98.0
30,Cornwall,2016,2,33.0
31,Coventry,2016,4,249.0
32,Cromwell,2016,7,380.0
33,Danbury,2016,926,3278.0
34,Darien,2016,6,241.0
35,Deep River,2016,3,49.0
36,Derby,2016,316,666.0
37,Durham,2016,0,46.0
38,East Granby,2016,0,110.0
39,East Haddam,2016,3,99.0
40,East Hampton,2016,6,176.0
41,East Hartford,2016,859,3339.0
42,East Haven,2016,140,948.0
43,East Lyme,2016,16,508.0
44,East Windsor,2016,34,706.0
45,Eastford,2016,0,18.0
46,Easton,2016,0,16.0
47,Ellington,2016,5,362.0
48,Enfield,2016,217,2104.0
49,Essex,2016,3,49.0
50,Fairfield,2016,108,481.0
51,Farmington,2016,108,851.0
52,Franklin,2016,0,49.0
53,Glastonbury,2016,36,727.0
54,Goshen,2016,1,7.0
55,Granby,2016,1,132.0
56,Greenwich,2016,338,1259.0
57,Griswold,2016,58,380.0
58,Groton,2016,103,4026.0
59,Guilford,2016,7,225.0
60,Haddam,2016,0,52.0
61,Hamden,2016,635,2006.0
62,Hampton,2016,1,28.0
63,Hartford,2016,8439,19839.0
64,Hartland,2016,0,5.0
65,Harwinton,2016,4,55.0
66,Hebron,2016,3,94.0
67,Kent,2016,5,62.0
68,Killingly,2016,112,929.0
69,Killingworth,2016,0,23.0
70,Lebanon,2016,4,104.0
71,Ledyard,2016,8,226.0
72,Lisbon,2016,0,51.0
73,Litchfield,2016,7,188.0
74,Lyme,2016,0,10.0
75,Madison,2016,3,130.0
76,Manchester,2016,890,3600.0
77,Mansfield,2016,123,641.0
78,Marlborough,2016,2,48.0
79,Meriden,2016,1103,4077.0
80,Middlebury,2016,4,114.0
81,Middlefield,2016,4,46.0
82,Middletown,2016,1035,4524.0
83,Milford,2016,220,1212.0
84,Monroe,2016,3,69.0
85,Montville,2016,45,349.0
86,Morris,2016,3,25.0
87,Naugatuck,2016,270,1050.0
88,New Britain,2016,1478,5689.0
89,New Canaan,2016,13,201.0
90,New Fairfield,2016,4,72.0
91,New Hartford,2016,8,80.0
92,New Haven,2016,5709,16432.0
93,New London,2016,449,2717.0
94,New Milford,2016,23,436.0
95,Newington,2016,108,1058.0
96,Newtown,2016,6,218.0
97,Norfolk,2016,3,36.0
98,North Branford,2016,14,126.0
99,North Canaan,2016,0,146.0
100,North Haven,2016,47,467.0
101,North Stonington,2016,2,34.0
102,Norwalk,2016,1277,4501.0
103,Norwich,2016,784,3493.0
104,Old Lyme,2016,2,73.0
105,Old Saybrook,2016,9,92.0
106,Orange,2016,6,71.0
107,Oxford,2016,5,68.0
108,Plainfield,2016,177,837.0
109,Plainville,2016,48,524.0
110,Plymouth,2016,11,376.0
111,Pomfret,2016,2,48.0
112,Portland,2016,84,335.0
113,Preston,2016,8,85.0
114,Prospect,2016,6,45.0
115,Putnam,2016,67,562.0
116,Redding,2016,0,9.0
117,Ridgefield,2016,5,269.0
118,Rocky Hill,2016,31,414.0
119,Roxbury,2016,0,22.0
120,Salem,2016,2,28.0
121,Salisbury,2016,1,31.0
122,Scotland,2016,0,17.0
123,Seymour,2016,23,382.0
124,Sharon,2016,3,37.0
125,Shelton,2016,38,470.0
126,Sherman,2016,2,8.0
127,Simsbury,2016,61,409.0
128,Somers,2016,7,183.0
129,South Windsor,2016,50,662.0
130,Southbury,2016,7,125.0
131,Southington,2016,49,868.0
132,Sprague,2016,14,70.0
133,Stafford,2016,13,405.0
134,Stamford,2016,1753,8103.0
135,Sterling,2016,7,40.0
136,Stonington,2016,16,458.0
137,Stratford,2016,421,1259.0
138,Suffield,2016,2,276.0
139,Thomaston,2016,6,186.0
140,Thompson,2016,16,246.0
141,Tolland,2016,3,161.0
142,Torrington,2016,390,1810.0
143,Trumbull,2016,15,598.0
144,Union,2016,0,4.0
145,Vernon,2016,399,2180.0
146,Voluntown,2016,3,49.0
147,Wallingford,2016,116,758.0
148,Warren,2016,0,1.0
149,Washington,2016,5,52.0
150,Waterbury,2016,2969,10198.0
151,Waterford,2016,20,362.0
152,Watertown,2016,23,387.0
153,West Hartford,2016,786,1928.0
154,West Haven,2016,1476,2911.0
155,Westbrook,2016,8,195.0
156,Weston,2016,1,3.0
157,Westport,2016,54,324.0
158,Wethersfield,2016,99,945.0
159,Willington,2016,4,197.0
160,Wilton,2016,8,258.0
161,Winchester,2016,187,656.0
162,Windham,2016,608,2771.0
163,Windsor,2016,221,769.0
164,Windsor Locks,2016,147,460.0
165,Wolcott,2016,7,443.0
166,Woodbridge,2016,6,41.0
167,Woodbury,2016,3,84.0
168,Woodstock,2016,1,74.0
169,Andover,2015,0,55.0
170,Ansonia,2015,654,1159.0
171,Ashford,2015,2,79.0
172,Avon,2015,7,283.0
173,Barkhamsted,2015,5,20.0
174,Beacon Falls,2015,3,41.0
175,Berlin,2015,43,719.0
176,Bethany,2015,1,7.0
177,Bethel,2015,15,370.0
178,Bethlehem,2015,0,26.0
179,Bloomfield,2015,90,1009.0
180,Bolton,2015,2,25.0
181,Bolton,2015,20,1.14
182,Bozrah,2015,2,33.0
183,Branford,2015,60,484.0
184,Bridgeport,2015,3983,11339.0
185,Bridgewater,2015,0,4.0
186,Bristol,2015,780,3840.0
187,Brookfield,2015,8,221.0
188,Brooklyn,2015,11,358.0
189,Burlington,2015,0,66.0
190,Canaan,2015,2,54.0
191,Canterbury,2015,1,139.0
192,Canton,2015,14,328.0
193,Chaplin,2015,0,32.0
194,Cheshire,2015,16,395.0
195,Chester,2015,3,40.0
196,Clinton,2015,13,143.0
197,Colchester,2015,34,531.0
198,Colebrook,2015,0,9.0
199,Columbia,2015,3,104.0
200,Cornwall,2015,2,34.0
201,Coventry,2015,3,299.0
202,Cromwell,2015,9,452.0
203,Danbury,2015,909,3207.0
204,Darien,2015,6,238.0
205,Deep River,2015,2,54.0
206,Derby,2015,322,674.0
207,Durham,2015,1,52.0
208,East Granby,2015,1,113.0
209,East Haddam,2015,3,114.0
210,East Hampton,2015,8,203.0
211,East Hartford,2015,759,3483.0
212,East Haven,2015,139,1020.0
213,East Lyme,2015,12,534.0
214,East Windsor,2015,33,736.0
215,Eastford,2015,0,23.0
216,Easton,2015,0,15.0
217,Ellington,2015,5,382.0
218,Enfield,2015,199,2194.0
219,Essex,2015,5,50.0
220,Fairfield,2015,104,503.0
221,Farmington,2015,107,901.0
222,Franklin,2015,0,48.0
223,Glastonbury,2015,33,759.0
224,Goshen,2015,1,9.0
225,Granby,2015,1,142.0
226,Greenwich,2015,337,1363.0
227,Griswold,2015,74,431.0
228,Groton,2015,93,4076.0
229,Guilford,2015,7,233.0
230,Haddam,2015,0,42.0
231,Hamden,2015,554,1989.0
232,Hampton,2015,1,37.0
233,Hartford,2015,8532,20850.0
234,Hartland,2015,0,9.0
235,Harwinton,2015,2,59.0
236,Hebron,2015,2,104.0
237,Kent,2015,4,61.0
238,Killingly,2015,106,1050.0
239,Killingworth,2015,0,20.0
240,Lebanon,2015,4,109.0
241,Ledyard,2015,6,260.0
242,Lisbon,2015,0,60.0
243,Litchfield,2015,5,196.0
244,Lyme,2015,0,10.0
245,Madison,2015,2,130.0
246,Manchester,2015,839,3764.0
247,Mansfield,2015,121,651.0
248,Marlborough,2015,2,50.0
249,Meriden,2015,1102,4268.0
250,Middletown,2015,1121,4943.0
251,Milford,2015,211,1266.0
252,Monroe,2015,3,65.0
253,Montville,2015,37,375.0
254,Morris,2015,4,25.0
255,Naugatuck,2015,260,1134.0
256,New Britain,2015,1423,6281.0
257,New Canaan,2015,10,199.0
258,New Fairfield,2015,1,52.0
259,New Hartford,2015,6,79.0
260,New Haven,2015,5654,16620.0
261,New London,2015,449,2777.0
262,New Milford,2015,24,498.0
263,Newington,2015,104,1124.0
264,Newtown,2015,3,195.0
265,Norfolk,2015,3,37.0
266,North Branford,2015,11,136.0
267,North Canaan,2015,1,149.0
268,North Haven,2015,40,474.0
269,North Stonington,2015,2,31.0
270,Norwalk,2015,1065,4363.0
271,Norwich,2015,762,3576.0
272,Old Lyme,2015,3,75.0
273,Old Saybrook,2015,7,97.0
274,Orange,2015,6,71.0
275,Oxford,2015,4,58.0
276,Plainfield,2015,180,939.0
277,Plainville,2015,22,618.0
278,Plymouth,2015,10,398.0
279,Pomfret,2015,1,55.0
280,Portland,2015,83,341.0
281,Preston,2015,5,90.0
282,Prospect,2015,4,42.0
283,Putnam,2015,65,618.0
284,Redding,2015,0,1.0
285,Ridgefield,2015,3,256.0
286,Rocky Hill,2015,25,454.0
287,Roxbury,2015,0,21.0
288,Salem,2015,0,32.0
289,Salisbury,2015,2,35.0
290,Scotland,2015,0,17.0
291,Seymour,2015,21,396.0
292,Sharon,2015,2,26.0
293,Shelton,2015,42,571.0
294,Sherman,2015,2,6.0
295,Simsbury,2015,19,339.0
296,Somers,2015,10,189.0
297,Southbury,2015,6,121.0
298,Sprague,2015,13,72.0
299,Stafford,2015,10,472.0
300,Stamford,2015,1836,8502.0
301,Sterling,2015,6,50.0
302,Stonington,2015,16,471.0
303,Stratford,2015,392,1260.0
304,Suffield,2015,2,297.0
305,Thomaston,2015,4,226.0
306,Thompson,2015,11,274.0
307,Tolland,2015,3,191.0
308,Torrington,2015,316,2113.0
309,Trumbull,2015,16,588.0
310,Union,2015,0,10.0
311,Vernon,2015,371,2264.0
312,Voluntown,2015,4,54.0
313,Wallingford,2015,116,969.0
314,Warren,2015,0,5.0
315,Washington,2015,5,46.0
316,Waterbury,2015,2904,11066.0
317,Waterford,2015,21,403.0
318,Watertown,2015,22,394.0
319,West Hartford,2015,720,1981.0
320,West Haven,2015,1438,2930.0
321,Westbrook,2015,7,188.0
322,Weston,2015,1,3.0
323,Westport,2015,50,319.0
324,Wethersfield,2015,96,989.0
325,Willington,2015,1,208.0
326,Wilton,2015,6,254.0
327,Winchester,2015,214,723.0
328,Windham,2015,596,2992.0
329,Windsor,2015,207,824.0
330,Windsor Locks,2015,140,486.0
331,Wolcott,2015,5,471.0
332,Woodbridge,2015,5,41.0
333,Woodbury,2015,3,88.0
334,Woodstock,2015,2,98.0
335,Andover,2014,1,57.0
336,Ansonia,2014,642,1134.0
337,Ashford,2014,2,84.0
338,Avon,2014,8,278.0
339,Barkhamsted,2014,4,17.0
340,Beacon Falls,2014,2,33.0
341,Berlin,2014,43,699.0
342,Bethany,2014,0,3.0
343,Bethel,2014,15,397.0
344,Bethlehem,2014,0,25.0
345,Bloomfield,2014,149,1051.0
346,Bolton,2014,3,26.0
347,Bozrah,2014,2,36.0
348,Branford,2014,56,478.0
349,Bridgeport,2014,3779,10705.0
350,Bridgewater,2014,0,2.0
351,Bristol,2014,823,3521.0
352,Brookfield,2014,7,160.0
353,Brooklyn,2014,12,378.0
354,Burlington,2014,0,61.0
355,Canaan,2014,3,59.0
356,Canterbury,2014,0,155.0
357,Canton,2014,17,328.0
358,Chaplin,2014,0,36.0
359,Cheshire,2014,12,384.0
360,Chester,2014,3,38.0
361,Clinton,2014,9,140.0
362,Colchester,2014,34,543.0
363,Colebrook,2014,0,11.0
364,Columbia,2014,3,90.0
365,Cornwall,2014,2,23.0
366,Coventry,2014,1,300.0
367,Cromwell,2014,13,428.0
368,Danbury,2014,904,3131.0
369,Darien,2014,7,239.0
370,Deep River,2014,24,76.0
371,Derby,2014,314,658.0
372,Durham,2014,4,54.0
373,East Granby,2014,2,109.0
374,East Haddam,2014,1,122.0
375,East Hampton,2014,5,198.0
376,East Hartford,2014,1054,3706.0
377,East Haven,2014,141,990.0
378,East Lyme,2014,10,520.0
379,East Windsor,2014,43,735.0
380,Eastford,2014,0,24.0
381,Easton,2014,0,11.0
382,Ellington,2014,9,375.0
383,Enfield,2014,211,2139.0
384,Essex,2014,5,53.0
385,Fairfield,2014,94,485.0
386,Farmington,2014,110,884.0
387,Franklin,2014,0,43.0
388,Glastonbury,2014,37,746.0
389,Goshen,2014,0,10.0
390,Granby,2014,1,138.0
391,Greenwich,2014,334,1229.0
392,Griswold,2014,67,457.0
393,Groton,2014,76,4044.0
394,Guilford,2014,7,220.0
395,Haddam,2014,0,47.0
396,Hamden,2014,545,1929.0
397,Hampton,2014,2,44.0
398,Hartford,2014,7812,19634.0
399,Hartland,2014,1,11.0
400,Harwinton,2014,0,58.0
401,Hebron,2014,3,107.0
402,Kent,2014,4,60.0
403,Killingly,2014,107,1090.0
404,Killingworth,2014,0,16.0
405,Lebanon,2014,5,119.0
406,Ledyard,2014,5,241.0
407,Lisbon,2014,0,59.0
408,Litchfield,2014,5,202.0
409,Lyme,2014,0,10.0
410,Madison,2014,1,130.0
411,Manchester,2014,977,3770.0
412,Mansfield,2014,125,661.0
413,Marlborough,2014,2,49.0
414,Meriden,2014,1033,4136.0
415,Middlebury,2014,3,115.0
416,Middlefield,2014,2,46.0
417,Middletown,2014,1047,4660.0
418,Milford,2014,212,1265.0
419,Monroe,2014,3,59.0
420,Montville,2014,28,349.0
421,Morris,2014,4,25.0
422,Naugatuck,2014,368,1216.0
423,New Britain,2014,1602,6597.0
424,New Canaan,2014,9,205.0
425,New Fairfield,2014,0,40.0
426,New Hartford,2014,5,78.0
427,New Haven,2014,5336,15985.0
428,New London,2014,674,2944.0
429,New Milford,2014,27,459.0
430,Newington,2014,148,1111.0
431,Newtown,2014,3,181.0
432,Norfolk,2014,2,39.0
433,North Branford,2014,10,134.0
434,North Canaan,2014,1,147.0
435,North Haven,2014,36,456.0
436,North Stonington,2014,2,24.0
437,Norwalk,2014,997,4191.0
438,Norwich,2014,721,3384.0
439,Old Lyme,2014,2,78.0
440,Old Saybrook,2014,7,96.0
441,Orange,2014,6,68.0
442,Oxford,2014,3,51.0
443,Plainfield,2014,166,1003.0
444,Plainville,2014,21,596.0
445,Plymouth,2014,18,420.0
446,Pomfret,2014,1,61.0
447,Portland,2014,82,331.0
448,Preston,2014,5,89.0
449,Prospect,2014,4,42.0
450,Putnam,2014,69,660.0
451,Redding,2014,0,0.0
452,Ridgefield,2014,1,237.0
453,Rocky Hill,2014,30,444.0
454,Roxbury,2014,0,20.0
455,Salem,2014,0,35.0
456,Salisbury,2014,2,37.0
457,Scotland,2014,0,13.0
458,Seymour,2014,18,377.0
459,Sharon,2014,2,26.0
460,Shelton,2014,34,547.0
461,Sherman,2014,2,5.0
462,Simsbury,2014,19,322.0
463,Somers,2014,12,189.0
464,South Windsor,2014,49,715.0
465,Southbury,2014,4,112.0
466,Lyme,2012,0,10.0
467,Southington,2014,67,1022.0
468,Sprague,2014,13,80.0
469,Stafford,2014,13,422.0
470,Stamford,2014,1732,8215.0
471,Sterling,2014,6,67.0
472,Stonington,2014,15,383.0
473,Stratford,2014,381,1216.0
474,Suffield,2014,3,294.0
475,Thomaston,2014,4,223.0
476,Thompson,2014,25,309.0
477,Tolland,2014,2,196.0
478,Torrington,2014,277,2045.0
479,Trumbull,2014,15,683.0
480,Union,2014,0,12.0
481,Vernon,2014,391,2164.0
482,Voluntown,2014,4,62.0
483,Wallingford,2014,115,941.0
484,Warren,2014,0,5.0
485,Washington,2014,6,50.0
486,Waterbury,2014,3074,10898.0
487,Waterford,2014,20,382.0
488,Watertown,2014,18,368.0
489,West Hartford,2014,832,2056.0
490,West Haven,2014,1451,2904.0
491,Westbrook,2014,7,188.0
492,Weston,2014,1,1.0
493,Westport,2014,45,313.0
494,Wethersfield,2014,134,980.0
495,Willington,2014,1,207.0
496,Wilton,2014,7,250.0
497,Winchester,2014,444,979.0
498,Windham,2014,541,2978.0
499,Windsor,2014,297,878.0
500,Windsor Locks,2014,153,477.0
501,Wolcott,2014,4,448.0
502,Woodbridge,2014,5,41.0
503,Woodbury,2014,2,86.0
504,Woodstock,2014,3,99.0
505,Andover,2013,1,54.0
